14/06/2025 04:16:00 | Inactividad: 40.12 minutos | Tráfico: 26928681.54 KB | Apagado: -
14/06/2025 04:21:00 | Inactividad: 45.12 minutos | Tráfico: 31721549.18 KB | Apagado: -
14/06/2025 04:26:00 | Inactividad: 50.12 minutos | Tráfico: 37900766.11 KB | Apagado: -
14/06/2025 04:31:00 | Inactividad: 55.12 minutos | Tráfico: 39564075 KB | Apagado: -
14/06/2025 04:36:01 | Inactividad: 60.12 minutos | Tráfico: 47015003.35 KB | Apagado: -
14/06/2025 04:41:00 | Inactividad: 65.12 minutos | Tráfico: 50202143.97 KB | Apagado: -
14/06/2025 04:46:01 | Inactividad: 70.12 minutos | Tráfico: 55108751.35 KB | Apagado: -
14/06/2025 04:51:00 | Inactividad: 75.12 minutos | Tráfico: 55684767.65 KB | Apagado: -
14/06/2025 04:56:01 | Inactividad: 80.13 minutos | Tráfico: 52752543.32 KB | Apagado: -
14/06/2025 05:01:00 | Inactividad: 85.12 minutos | Tráfico: 48838231.34 KB | Apagado: -
14/06/2025 05:06:01 | Inactividad: 90.13 minutos | Tráfico: 43641570.22 KB | Apagado: -
14/06/2025 05:10:59 | Inactividad: 95.12 minutos | Tráfico: 43641946.1 KB | Apagado: -
14/06/2025 05:15:59 | Inactividad: 100.12 minutos | Tráfico: 39632878.53 KB | Apagado: -
14/06/2025 05:20:59 | Inactividad: 105.12 minutos | Tráfico: 34838935.12 KB | Apagado: -
14/06/2025 05:25:59 | Inactividad: 110.12 minutos | Tráfico: 28042454.97 KB | Apagado: -
14/06/2025 05:30:59 | Inactividad: 115.12 minutos | Tráfico: 23569483.63 KB | Apagado: -
14/06/2025 05:35:59 | Inactividad: 120.12 minutos | Tráfico: 19550311.8 KB | Apagado: -
14/06/2025 05:40:59 | Inactividad: 125.12 minutos | Tráfico: 16135219.88 KB | Apagado: -
14/06/2025 05:45:59 | Inactividad: 130.12 minutos | Tráfico: 11228952.83 KB | Apagado: -
14/06/2025 05:51:00 | Inactividad: 135.12 minutos | Tráfico: 1606732.1 KB | Apagado: -
14/06/2025 05:55:59 | Inactividad: 140.12 minutos | Tráfico: 1607073.46 KB | Apagado: -
14/06/2025 06:00:59 | Inactividad: 145.12 minutos | Tráfico: 1182846.65 KB | Apagado: -
14/06/2025 06:05:59 | Inactividad: 150.12 minutos | Tráfico: 4631.63 KB | Apagado: 14/06/2025 06:05:59
14/06/2025 13:12:54 | Inactividad: 0.48 minutos | Tráfico: 10000 KB | Apagado: -
14/06/2025 13:19:43 | Inactividad: 0.37 minutos | Tráfico: 10000 KB | Apagado: -
14/06/2025 13:24:20 | Inactividad: 5.13 minutos | Tráfico: 69.81 KB | Apagado: -
14/06/2025 13:29:19 | Inactividad: 10.12 minutos | Tráfico: 527.75 KB | Apagado: -
14/06/2025 13:34:21 | Inactividad: 15.13 minutos | Tráfico: 4239.21 KB | Apagado: -
14/06/2025 13:39:19 | Inactividad: 20.12 minutos | Tráfico: 4652.93 KB | Apagado: -
14/06/2025 13:44:19 | Inactividad: 25.12 minutos | Tráfico: 5062.66 KB | Apagado: -
14/06/2025 13:49:19 | Inactividad: 30.12 minutos | Tráfico: 5410.23 KB | Apagado: -
14/06/2025 13:54:19 | Inactividad: 35.12 minutos | Tráfico: 5884.21 KB | Apagado: -
14/06/2025 13:59:19 | Inactividad: 40.12 minutos | Tráfico: 6854.87 KB | Apagado: -
14/06/2025 14:04:19 | Inactividad: 45.12 minutos | Tráfico: 8266.58 KB | Apagado: -
14/06/2025 14:09:19 | Inactividad: 50.12 minutos | Tráfico: 8810.53 KB | Apagado: -
14/06/2025 14:14:19 | Inactividad: 55.12 minutos | Tráfico: 10759.5 KB | Apagado: -
14/06/2025 14:19:19 | Inactividad: 60.12 minutos | Tráfico: 11280.39 KB | Apagado: -
14/06/2025 14:24:19 | Inactividad: 65.12 minutos | Tráfico: 10473.26 KB | Apagado: -
14/06/2025 14:29:19 | Inactividad: 70.12 minutos | Tráfico: 6885.46 KB | Apagado: 14/06/2025 14:29:19
14/06/2025 15:39:59 | Inactividad: 0.35 minutos | Tráfico: 10000 KB | Apagado: -
